employee_id,area,home_lat,home_lon,pt_minutes,transfers,walk_minutes,modes,first_stop_name,first_stop_lat,first_stop_lon,route_ok,dist_km,car_minutes,car_cost_month_eur,savings_month_eur,time_band,time_ratio,adoption_score,adoption_class
E0014,Henstedt-Ulzburg,53.7813,9.9756,66.0,2.0,17.0,BUS,"Ulzburg-Süd, Birkenhof",53.777924,9.978262,True,11.54,28.3,196.0,138.0,> 60 min,2.33,40.8,Medium
E0015,Rotherbaum/Harvestehude,53.57889,9.98286,75.0,2.0,21.0,SUBWAY+BUS,Eppendorfer Baum,53.583763,9.985313,True,12.69,30.5,216.0,158.0,> 60 min,2.46,29.6,Low
E0016,Wandsbek,53.57442,10.08659,76.0,2.0,12.0,BUS,Kedenburgstraße,53.57498,10.087685,True,12.74,30.6,217.0,159.0,> 60 min,2.48,36.6,Low
E0017,Volksdorf,53.65744,10.16318,47.0,1.0,11.0,BUS,Rögenweg,53.65637,10.160152,True,8.31,22.0,141.0,83.0,46–60 min,2.14,62.0,Medium
E0018,Billstedt,53.55595,10.11645,82.0,2.0,15.0,BUS,Manshardtstraße,53.55788799999999,10.116314999999998,True,15.22,35.4,259.0,201.0,> 60 min,2.32,37.9,Low
E0019,Henstedt-Ulzburg,53.8041,9.98864,76.0,2.0,15.0,BUS,"Ulzburg, Ulzburger Straße",53.80445999999999,9.984226,True,13.63,32.3,232.0,174.0,> 60 min,2.35,38.8,Low
E0020,Wilhelmsburg,53.52293,10.00606,94.0,3.0,32.0,METRO+SUBWAY+BUS,Veddel (BallinStadt),53.5217,10.013312999999998,True,18.39,41.5,313.0,255.0,> 60 min,2.27,13.8,Low
E0021,Duvenstedt/Lemsahl,53.68796,10.13067,44.0,1.0,17.0,BUS,Bredenbekstraße,53.69281800000001,10.131711999999998,True,5.51,16.6,94.0,36.0,31–45 min,2.65,34.0,Low
E0022,Hoheluft,53.58071,9.97586,80.0,3.0,18.0,BUS,Eppendorfer Weg (Ost),53.58192,9.972072,True,12.67,30.4,216.0,158.0,> 60 min,2.63,17.6,Low
E0023,Wedel,53.59479,9.67693,112.0,3.0,28.0,BUS,"Wedel, Hatzburgtwiete",53.591263,9.687117999999998,True,26.44,57.0,450.0,392.0,> 60 min,1.96,22.9,Low
E0024,Pinneberg,53.64248,9.76338,85.0,1.0,16.0,BUS,"Appen-Etz, Rollbarg",53.638096,9.760699,True,19.31,43.2,328.0,270.0,> 60 min,1.97,55.7,Medium
E0025,Norderstedt,53.68729,10.02125,18.0,0.0,11.0,BUS,"Glashütte, Am Böhmerwald",53.68587,10.025396,True,1.7,9.3,29.0,-29.0,≤ 30 min,1.94,63.4,Medium
E0026,Barmbek-Süd,53.58667,10.04709,56.0,1.0,15.0,METRO+BUS,Barmbek,53.58745999999999,10.044164,True,11.1,27.4,189.0,131.0,46–60 min,2.04,63.0,Medium
E0027,Hamm,53.54411,10.03113,80.0,2.0,24.0,BUS+METRO,Süderstraße,53.546017,10.030247,True,15.87,36.6,270.0,212.0,> 60 min,2.19,35.4,Low
E0028,Rahlstedt,53.60276,10.14643,60.0,1.0,18.0,BUS,Bf. Rahlstedt (Doberaner Weg),53.604668,10.153586000000002,True,11.39,28.0,194.0,136.0,46–60 min,2.14,55.6,Medium
E0029,Eimsbüttel,53.57868,9.96099,75.0,3.0,26.0,SUBWAY+BUS,Osterstraße,53.57608,9.951689000000002,True,13.26,31.6,226.0,168.0,> 60 min,2.37,22.0,Low
E0030,Schnelsen,53.63424,9.93095,65.0,2.0,27.0,BUS,Wendlohstraße,53.629864,9.939724,True,9.6,24.5,163.0,105.0,> 60 min,2.65,17.3,Low
E0031,Hummelsbüttel,53.64983,10.04778,41.0,2.0,19.0,BUS,Glashütter Landstraße,53.647923,10.041,True,4.08,13.9,69.0,11.0,31–45 min,2.95,12.2,Low
E0032,Wedel,53.57666,9.69741,116.0,4.0,25.0,BUS,"Wedel, Bahnhofstraße",53.577335000000005,9.705370999999998,True,26.09,56.3,444.0,386.0,> 60 min,2.06,13.9,Low
E0033,Ohlsdorf,53.62618,10.03888,44.0,1.0,19.0,BUS,U S Ohlsdorf (Fuhlsbüttler Straße),53.621307,10.033319,True,6.73,19.0,114.0,56.0,31–45 min,2.32,46.4,Medium
E0034,Altona-Altstadt,53.54564,9.95,90.0,3.0,21.0,BUS+SUBWAY+METRO,Fischmarkt,53.54636,9.951025,True,16.92,38.6,288.0,230.0,> 60 min,2.33,22.8,Low
E0035,Hamm,53.55214,10.05568,82.0,2.0,26.0,SUBWAY+METRO+BUS,Hammer Kirche,53.555676,10.055553000000002,True,14.95,34.8,254.0,196.0,> 60 min,2.36,26.5,Low
E0036,Barmbek-Süd,53.58881,10.02168,69.0,2.0,18.0,BUS,Großheidestraße,53.58529,10.026708,True,10.99,27.2,187.0,129.0,> 60 min,2.54,30.1,Low
E0037,Eimsbüttel,53.56463,9.93303,87.0,5.0,30.0,METRO+BUS+SUBWAY,Diebsteich,53.56857000000001,9.934259999999998,True,15.5,35.9,264.0,206.0,> 60 min,2.42,0.0,Low
E0038,Hamm,53.53766,10.0494,87.0,2.0,31.0,METRO+BUS,Rothenburgsort,53.538475000000005,10.043952999999998,True,16.55,37.9,282.0,224.0,> 60 min,2.3,22.5,Low
E0039,Wandsbek,53.587,10.08035,81.0,2.0,23.0,BUS+METRO,Friedrich-Ebert-Damm (West),53.5847,10.077732,True,11.28,27.8,192.0,134.0,> 60 min,2.91,7.8,Low
E0040,Lokstedt,53.60438,9.9692,70.0,3.0,24.0,BUS,Stavenhagenstraße,53.60968,9.968704,True,10.47,26.2,178.0,120.0,> 60 min,2.67,12.2,Low
E0041,Rotherbaum/Harvestehude,53.57797,9.98934,72.0,2.0,18.0,BUS,Harvestehuder Weg,53.57942,9.993964,True,12.65,30.4,215.0,157.0,> 60 min,2.37,36.8,Low
E0042,Henstedt-Ulzburg,53.81024,9.97977,80.0,3.0,16.0,BUS,"Ulzburg, Brahmkoppel",53.809708,9.977992,True,14.45,33.9,246.0,188.0,> 60 min,2.36,29.7,Low
E0043,Eidelstedt,53.59846,9.89644,83.0,3.0,27.0,BUS,A S Eidelstedt,53.595184,9.904932,True,13.94,32.9,237.0,179.0,> 60 min,2.52,12.6,Low
E0044,Niendorf,53.60519,9.93579,69.0,3.0,25.0,SUBWAY+BUS,Hagendeel,53.603886,9.945275,True,11.64,28.4,198.0,140.0,> 60 min,2.43,22.4,Low
E0045,Henstedt-Ulzburg,53.7897,9.99343,67.0,2.0,12.0,BUS,"Henstedt, Ostpreußenstraße",53.789818,9.991862,True,12.0,29.1,204.0,146.0,> 60 min,2.3,46.6,Medium
E0046,Norderstedt,53.72753,9.97462,56.0,2.0,21.0,BUS,"Friedrichsgabe, Lawaetzstraße (Mitte)",53.727787,9.984586000000002,True,6.59,18.7,112.0,54.0,46–60 min,2.99,8.6,Low
E0047,Ottensen,53.55436,9.90801,97.0,5.0,21.0,BUS+SUBWAY,Griegstraße,53.55426799999999,9.910403,True,17.32,39.4,295.0,237.0,> 60 min,2.46,2.4,Low
E0048,Niendorf,53.62475,9.9479,53.0,2.0,12.0,BUS,Herzog-Bruno-Weg,53.62559000000001,9.946927999999998,True,9.48,24.3,161.0,103.0,46–60 min,2.18,52.6,Medium
E0049,Schnelsen,53.61652,9.93337,,,,,,,,False,10.8,26.8,184.0,126.0,,,,
E0050,Eimsbüttel,53.57016,9.94517,74.0,3.0,23.0,SUBWAY+BUS,Emilienstraße,53.57166699999999,9.952660000000002,True,14.58,34.1,248.0,190.0,> 60 min,2.17,32.7,Low
E0051,Barmbek-Süd,53.57551,10.03667,67.0,2.0,22.0,SUBWAY+METRO+BUS,Hamburger Straße,53.57444,10.037344,True,12.36,29.8,210.0,152.0,> 60 min,2.25,39.5,Low
E0052,Rahlstedt,53.60799,10.15276,58.0,1.0,19.0,BUS,Bargteheider Straße (Nord),53.613697,10.155975,True,11.17,27.5,190.0,132.0,46–60 min,2.11,56.2,Medium
E0053,Norderstedt,53.70526,10.01927,31.0,1.0,17.0,BUS,"Harksheide, Schützenwall",53.7077,10.02307,True,2.77,11.3,47.0,-11.0,31–45 min,2.74,27.6,Low
E0054,Lokstedt,53.61224,9.95316,66.0,3.0,16.0,BUS,Vogt-Cordes-Damm,53.613710000000005,9.951914,True,10.32,25.9,176.0,118.0,> 60 min,2.55,25.2,Low
E0055,Eidelstedt,53.59271,9.92037,,,,,,,,False,13.36,31.8,227.0,169.0,,,,
E0056,Norderstedt,53.6947,10.03853,14.0,1.0,11.0,BUS,"Glashütte, Arlaustieg",53.69363800000001,10.039077999999998,True,1.07,8.1,18.0,-40.0,≤ 30 min,1.73,71.4,High
E0057,Uhlenhorst,53.57492,10.01595,73.0,2.0,12.0,BUS,Zimmerstraße,53.574795,10.015021,True,12.58,30.3,214.0,156.0,> 60 min,2.41,40.3,Medium
E0058,Farmsen-Berne,53.60914,10.14509,67.0,2.0,23.0,BUS,Eggerskamp,53.61068,10.156523,True,10.76,26.8,183.0,125.0,> 60 min,2.5,27.5,Low
E0059,Eimsbüttel,53.59162,9.95289,68.0,4.0,19.0,BUS+SUBWAY,Max-Tau-Straße,53.592484,9.951231,True,12.24,29.6,208.0,150.0,> 60 min,2.3,27.0,Low
E0060,Winterhude,53.59728,10.01378,55.0,1.0,9.0,BUS,Stadtpark (Planetarium),53.596466,10.01423,True,10.16,25.6,173.0,115.0,46–60 min,2.15,62.4,Medium
E0061,Lokstedt,53.59708,9.96073,76.0,2.0,21.0,BUS,Siemersplatz,53.599430000000005,9.965074,True,11.46,28.1,195.0,137.0,> 60 min,2.7,19.6,Low
E0062,Hamm,53.55382,10.06052,79.0,2.0,27.0,BUS+METRO,Am Elisabethgehölz,53.55746499999999,10.062056000000002,True,14.78,34.5,251.0,193.0,> 60 min,2.29,29.3,Low
E0063,Farmsen-Berne,53.5985,10.09411,70.0,2.0,19.0,SUBWAY+BUS,Trabrennbahn,53.59823000000001,10.102202,True,10.27,25.8,175.0,117.0,> 60 min,2.71,21.4,Low
E0064,Norderstedt,53.66683,9.98139,24.0,0.0,6.0,BUS,"Garstedt, Gewerbe im Park",53.66603500000001,9.980121,True,4.84,15.3,82.0,24.0,≤ 30 min,1.57,80.3,High
E0065,Wilhelmsburg,53.4895,10.00437,107.0,4.0,35.0,BUS+METRO+SUBWAY,Hinter der Dorfkirche,53.490368,10.008390999999998,True,22.09,48.6,376.0,318.0,> 60 min,2.2,2.7,Low
E0066,Volksdorf,53.66837,10.1807,74.0,2.0,40.0,SUBWAY+BUS,Buckhorn,53.664730000000006,10.155598000000001,True,9.04,23.4,154.0,96.0,> 60 min,3.16,0.0,Low
E0067,Volksdorf,53.63938,10.16856,60.0,1.0,20.0,BUS,U Meiendorfer Weg,53.639410000000005,10.156326,True,9.57,24.5,163.0,105.0,46–60 min,2.45,39.4,Low
E0068,Niendorf,53.61593,9.94545,67.0,2.0,22.0,BUS,U Niendorf Markt,53.61911800000001,9.952040000000002,True,10.31,25.9,175.0,117.0,> 60 min,2.59,24.3,Low
E0069,Rahlstedt,53.60459,10.17087,62.0,2.0,18.0,BUS,Sieker Landstraße,53.605614,10.168552,True,12.24,29.6,208.0,150.0,> 60 min,2.09,50.9,Medium
E0070,Rotherbaum/Harvestehude,53.56796,10.00021,74.0,2.0,19.0,BUS,Böttgerstraße,53.568493,9.995518,True,13.54,32.1,230.0,172.0,> 60 min,2.31,37.5,Low
E0071,Wandsbek,53.57186,10.08408,76.0,2.0,14.0,BUS,Gustav-Adolf-Straße,53.570457,10.083257,True,12.98,31.0,221.0,163.0,> 60 min,2.45,35.9,Low
E0072,St. Pauli,53.56299,9.96478,76.0,4.0,19.0,BUS+SUBWAY,U S Sternschanze,53.56414,9.965955,True,14.77,34.5,251.0,193.0,> 60 min,2.2,27.9,Low
E0073,Ahrensburg,53.68833,10.22746,70.0,2.0,27.0,BUS,"Ahrensburg, Jungborn",53.683586,10.231990999999997,True,11.89,28.9,202.0,144.0,> 60 min,2.42,27.5,Low
E0074,Bramfeld,53.62081,10.07109,67.0,2.0,22.0,BUS,Friedhof Ohlsdorf (Kapelle 12),53.624664,10.069773,True,7.48,20.4,127.0,69.0,> 60 min,3.28,0.0,Low
E0075,Billstedt,53.53796,10.08503,94.0,3.0,17.0,BUS+SUBWAY,Blaue Brücke,53.5392,10.083939,True,16.71,38.2,284.0,226.0,> 60 min,2.46,20.1,Low
E0076,Langenhorn,53.66473,9.99501,26.0,0.0,10.0,BUS,Valvo,53.666904,9.991969999999998,True,4.19,14.1,71.0,13.0,≤ 30 min,1.84,69.2,High
E0077,Niendorf,53.62666,9.96736,63.0,1.0,17.0,BUS,Helvetierweg,53.626896,9.958912,True,8.47,22.3,144.0,86.0,> 60 min,2.83,25.0,Low
E0078,Bergedorf,53.4934,10.2065,96.0,2.0,25.0,METRO+BUS,Bergedorf,53.489834,10.206170999999998,True,23.92,52.1,407.0,349.0,> 60 min,1.84,42.2,Medium
E0079,Volksdorf,53.65354,10.15806,44.0,1.0,9.0,BUS,Halenreie,53.653263,10.16026,True,8.19,21.8,139.0,81.0,31–45 min,2.02,68.0,High
E0080,Norderstedt,53.71497,9.96312,63.0,2.0,31.0,BUS,"Garstedt, Hallig-Hooge-Stieg",53.711642999999995,9.980256,True,6.36,18.3,108.0,50.0,> 60 min,3.44,0.0,Low
E0081,Lokstedt,53.60065,9.9347,79.0,4.0,21.0,BUS+SUBWAY,Jütländer Allee,53.601154,9.931423,True,12.08,29.3,205.0,147.0,> 60 min,2.7,6.1,Low
E0082,Ottensen,53.54303,9.93109,100.0,5.0,29.0,BUS+SUBWAY,Rathaus Altona,53.54717,9.936229,True,17.69,40.1,301.0,243.0,> 60 min,2.49,0.0,Low
E0083,Quickborn,53.73595,9.89149,73.0,2.0,24.0,BUS,"Quickborn, Kirche",53.73131600000001,9.896901,True,11.61,28.4,197.0,139.0,> 60 min,2.57,23.0,Low
E0084,Barmbek-Nord,53.59448,10.0068,63.0,1.0,17.0,BUS,Stadtpark (Planetarium),53.596466,10.01423,True,10.57,26.4,180.0,122.0,> 60 min,2.39,44.7,Medium
E0085,Rahlstedt,53.59439,10.21122,90.0,2.0,41.0,BUS,"Stapelfeld, Heinrich-Ruge-Straße",53.605293,10.212200999999999,True,14.91,34.8,254.0,196.0,> 60 min,2.59,1.4,Low
E0086,Billstedt,53.54522,10.08926,83.0,2.0,27.0,BUS+METRO,Horner Rampe,53.547806,10.08535,True,15.96,36.8,271.0,213.0,> 60 min,2.26,29.0,Low
E0087,Stellingen,53.59572,9.90802,77.0,3.0,21.0,BUS,A S Eidelstedt,53.595184,9.904932,True,13.63,32.3,232.0,174.0,> 60 min,2.38,25.5,Low
E0088,Hamm,53.55192,10.05811,82.0,2.0,26.0,SUBWAY+METRO+BUS,Hammer Kirche,53.555676,10.055553000000002,True,14.98,34.9,255.0,197.0,> 60 min,2.35,26.8,Low
E0089,Eimsbüttel,53.57431,9.96212,74.0,3.0,25.0,SUBWAY+BUS,Osterstraße,53.57608,9.951689000000002,True,13.67,32.4,233.0,175.0,> 60 min,2.28,26.7,Low
E0090,Horn,53.55441,10.09749,84.0,2.0,31.0,BUS+METRO,U Horner Rennbahn,53.55445,10.08464,True,15.06,35.0,256.0,198.0,> 60 min,2.4,19.8,Low
E0091,Eimsbüttel,53.56949,9.96349,71.0,3.0,19.0,SUBWAY+BUS,Christuskirche,53.569588,9.962379,True,14.13,33.3,240.0,182.0,> 60 min,2.13,38.9,Low
E0092,Schnelsen,53.64766,9.90603,68.0,4.0,22.0,BUS,A Burgwedel,53.647118000000006,9.908993,True,10.24,25.7,174.0,116.0,> 60 min,2.65,8.6,Low
E0093,Rotherbaum/Harvestehude,53.56467,10.00282,77.0,2.0,22.0,BUS,Böttgerstraße,53.568493,9.995518,True,13.86,32.7,236.0,178.0,> 60 min,2.35,32.2,Low
E0094,Altona-Altstadt,53.54685,9.95848,86.0,3.0,17.0,BUS+SUBWAY,Bernhard-Nocht-Straße,53.54708,9.962838,True,16.59,38.0,282.0,224.0,> 60 min,2.26,30.5,Low
E0095,Niendorf,53.61557,9.97328,65.0,3.0,21.0,BUS,Warnckesweg,53.61092,9.974291,True,9.26,23.9,158.0,100.0,> 60 min,2.72,13.1,Low
E0096,Wilhelmsburg,53.49658,10.01496,97.0,3.0,32.0,METRO+SUBWAY+BUS,Wilhelmsburg,53.49893600000001,10.007006,True,21.23,46.9,361.0,303.0,> 60 min,2.07,20.3,Low
E0097,Hoheluft,53.59082,9.97211,75.0,3.0,20.0,BUS,UK Eppendorf,53.58884,9.975719000000002,True,11.73,28.6,200.0,142.0,> 60 min,2.62,17.8,Low
E0098,Billstedt,53.52871,10.09139,98.0,2.0,15.0,BUS,Pinkertweg (Mitte),53.527077,10.093264,True,17.79,40.3,303.0,245.0,> 60 min,2.43,28.1,Low
E0099,Winterhude,53.59962,9.97996,67.0,2.0,17.0,BUS,Lokstedter Weg,53.59665,9.984011,True,10.62,26.5,181.0,123.0,> 60 min,2.53,31.6,Low
E0100,Wedel,53.58874,9.69224,100.0,1.0,21.0,BUS,"Wedel, Markt",53.58432,9.700233,True,25.79,55.7,439.0,381.0,> 60 min,1.8,52.4,Medium
E0101,Elmshorn,53.76548,9.61469,126.0,4.0,37.0,BUS+REGIONAL_RAIL,"Raa-Besenbek, Achtern Knick",53.766270000000006,9.627280999999998,True,29.76,63.4,506.0,448.0,> 60 min,1.99,2.2,Low
E0102,Eidelstedt,53.59892,9.88071,85.0,3.0,19.0,BUS,Katzbachstraße,53.60103,9.88375,True,14.66,34.3,249.0,191.0,> 60 min,2.48,20.7,Low
E0103,Langenhorn,53.65091,10.01436,33.0,1.0,12.0,SUBWAY+BUS,Langenhorn Markt,53.649277,10.017293,True,4.5,14.7,77.0,19.0,31–45 min,2.24,52.7,Medium
E0104,Wedel,53.58139,9.69635,94.0,1.0,15.0,BUS,"Wedel, Markt",53.58432,9.700233,True,25.9,56.0,441.0,383.0,> 60 min,1.68,64.5,Medium
E0105,Norderstedt,53.69745,10.01521,28.0,1.0,22.0,BUS,"Glashütte, Jägerlauf",53.69156,10.022809,True,2.42,10.7,41.0,-17.0,≤ 30 min,2.62,27.6,Low
E0106,Eidelstedt,53.59692,9.91518,82.0,4.0,29.0,BUS+SUBWAY,S Stellingen,53.590008000000005,9.918838,True,13.22,31.5,225.0,167.0,> 60 min,2.6,1.6,Low
E0107,Uhlenhorst,53.57631,10.02008,72.0,2.0,15.0,BUS,Mozartstraße,53.578384,10.021857,True,12.38,29.9,211.0,153.0,> 60 min,2.41,38.0,Low
E0108,Langenhorn,53.66612,10.01522,31.0,1.0,19.0,BUS,Wattkorn,53.66468,10.023851,True,3.08,11.9,52.0,-6.0,31–45 min,2.61,30.7,Low
E0109,Winterhude,53.61228,9.99889,49.0,2.0,12.0,BUS,Alsterdorfer Damm,53.613426,9.999435000000002,True,8.84,23.0,150.0,92.0,46–60 min,2.13,55.0,Medium
E0110,Pinneberg,53.65193,9.77694,80.0,3.0,16.0,BUS,"Pinneberg, Blauer Kamp",53.65193,9.780290999999998,True,18.2,41.1,310.0,252.0,> 60 min,1.95,45.2,Medium
E0111,Uhlenhorst,53.56784,10.00704,87.0,2.0,24.0,BUS,Averhoffstraße,53.570396,10.017033,True,13.46,32.0,229.0,171.0,> 60 min,2.72,12.8,Low
E0112,Barmbek-Süd,53.57678,10.04321,72.0,3.0,20.0,BUS,Holsteinischer Kamp,53.576553,10.048697999999998,True,12.21,29.5,208.0,150.0,> 60 min,2.44,25.8,Low
E0113,Niendorf,53.62334,9.95082,55.0,2.0,13.0,BUS,An der Lohe,53.62395500000001,9.952130000000002,True,9.46,24.2,161.0,103.0,46–60 min,2.27,47.6,Medium
E0114,Farmsen-Berne,53.59911,10.12996,68.0,2.0,19.0,BUS,Timmendorfer Straße,53.60397,10.131154999999998,True,11.15,27.5,190.0,132.0,> 60 min,2.47,32.5,Low
E0115,Barmbek-Nord,53.61018,10.03821,47.0,2.0,12.0,BUS,Hebebrandstraße,53.60888,10.038520999999998,True,8.51,22.4,145.0,87.0,46–60 min,2.1,56.4,Medium
E0116,Ahrensburg,53.66747,10.23477,65.0,2.0,15.0,BUS,Bf. Ahrensburg,53.669617,10.236527,True,12.55,30.2,213.0,155.0,> 60 min,2.15,50.3,Medium
E0117,Duvenstedt/Lemsahl,53.70988,10.08183,30.0,1.0,20.0,BUS,"Tangstedt (OD), Puckaff",53.71399,10.076205,True,3.47,12.7,59.0,1.0,≤ 30 min,2.36,39.4,Low
E0118,Stellingen,53.59146,9.93135,70.0,4.0,21.0,BUS+SUBWAY,Rathaus Stellingen,53.592567,9.934620999999998,True,13.03,31.1,222.0,164.0,> 60 min,2.25,26.4,Low
E0119,Rotherbaum/Harvestehude,53.5646,9.99182,74.0,2.0,15.0,BUS,Fontenay,53.56466699999999,9.994539,True,14.04,33.1,239.0,181.0,> 60 min,2.24,43.7,Medium
E0120,Wilhelmsburg,53.47754,10.03565,113.0,4.0,38.0,BUS+METRO+REGIONAL_RAIL,Heuckenlock,53.476494,10.039832,True,23.25,50.8,395.0,337.0,> 60 min,2.22,0.0,Low
E0121,Steilshoop,53.61749,10.05558,62.0,2.0,21.0,BUS,Friedhof Ohlsdorf (Kapelle 10),53.620327,10.054879,True,7.7,20.8,131.0,73.0,> 60 min,2.98,8.5,Low
E0122,Bergedorf,53.49336,10.16573,93.0,2.0,27.0,METRO+BUS,Allermöhe,53.490356000000006,10.158735,True,22.86,50.1,389.0,331.0,> 60 min,1.86,40.7,Medium
E0123,Billstedt,53.52612,10.09436,96.0,2.0,13.0,BUS,Pinkertweg (Mitte),53.527077,10.093264,True,18.11,40.9,308.0,250.0,> 60 min,2.35,33.6,Low
E0124,St. Pauli,53.54464,9.96872,78.0,2.0,14.0,SUBWAY+BUS,Landungsbrücken,53.5459,9.9713,True,16.6,38.0,282.0,224.0,> 60 min,2.05,50.5,Medium
E0125,Rahlstedt,53.62996,10.13064,57.0,2.0,22.0,BUS,Karlshöher Weg,53.631725,10.137793,True,8.36,22.1,142.0,84.0,46–60 min,2.58,25.5,Low
E0126,Horn,53.54614,10.09264,83.0,2.0,16.0,SUBWAY+BUS,Legienstraße,53.54676,10.096534000000002,True,15.9,36.7,270.0,212.0,> 60 min,2.26,38.9,Low
E0127,Alsterdorf,53.62067,9.99527,47.0,2.0,15.0,BUS,Lufthansa-Basis,53.620743,9.998077999999998,True,8.08,21.6,137.0,79.0,46–60 min,2.18,50.0,Medium
E0128,Eimsbüttel,53.57699,9.97531,66.0,2.0,11.0,SUBWAY+BUS,Hoheluftbrücke,53.577633,9.976348,True,13.06,31.2,222.0,164.0,> 60 min,2.12,54.7,Medium
E0129,Winterhude,53.58279,9.9836,68.0,2.0,14.0,SUBWAY+BUS,Eppendorfer Baum,53.583763,9.985313,True,12.27,29.7,209.0,151.0,> 60 min,2.29,44.8,Medium
E0130,Steilshoop,53.60746,10.053,63.0,3.0,17.0,BUS,Schwarzer Weg,53.606182,10.055328,True,8.8,23.0,150.0,92.0,> 60 min,2.74,15.9,Low
E0131,Barmbek-Nord,53.61069,10.04271,50.0,2.0,16.0,BUS,Hebebrandstraße,53.60888,10.038520999999998,True,8.44,22.3,144.0,86.0,46–60 min,2.24,46.4,Medium
E0132,Elmshorn,53.73625,9.66125,97.0,4.0,24.0,BUS+REGIONAL_RAIL,"Elmshorn, Hebbelplatz",53.737972000000006,9.66192,True,25.98,56.1,442.0,384.0,> 60 min,1.73,34.0,Low
E0133,Farmsen-Berne,53.6008,10.13535,71.0,2.0,21.0,BUS,Boltenhagener Straße,53.60012,10.137990999999998,True,11.17,27.5,190.0,132.0,> 60 min,2.58,25.5,Low
E0134,Eppendorf,53.58923,9.97689,70.0,3.0,16.0,BUS,Eppendorfer Park (UKE),53.590500000000006,9.979573,True,11.76,28.7,200.0,142.0,> 60 min,2.44,30.0,Low
E0135,Steilshoop,53.61325,10.06532,76.0,2.0,18.0,BUS,Erich-Ziegel-Ring,53.611736,10.063314,True,8.24,21.9,140.0,82.0,> 60 min,3.47,0.0,Low
E0136,Rahlstedt,53.60827,10.11924,63.0,2.0,14.0,SUBWAY+BUS,Farmsen,53.60708,10.117806,True,9.92,25.1,169.0,111.0,> 60 min,2.51,35.5,Low
E0137,Bad Oldesloe,53.81638,10.35745,108.0,3.0,25.0,BUS,"Bad Oldesloe, Heimstraße",53.81134,10.360387,True,25.0,54.2,425.0,367.0,> 60 min,1.99,25.8,Low
E0138,Hamm,53.55565,10.04105,70.0,2.0,17.0,BUS+METRO,U Burgstraße,53.55564,10.04144,True,14.56,34.1,248.0,190.0,> 60 min,2.05,50.6,Medium
E0139,Norderstedt,53.70714,9.98935,32.0,1.0,10.0,BUS,U A Norderstedt Mitte,53.706944,9.99223,True,4.43,14.5,75.0,17.0,31–45 min,2.21,55.4,Medium
